ID,date,ratio
3002,36,0.6307692
3002,37,2.231707
3002,38,0.7431694
3002,39,1.161765
3002,40,1.063291
3002,41,0.7202381
3002,42,0.1900826
3002,43,1.434783
3002,44,1.969697
3002,45,0.1692308
3002,46,0.09090909
3002,47,72
3002,48,1.263889
3002,49,0.2967033
3002,50,4.592593
3002,51,1.435484
3002,52,0.06179775
3002,53,11
3002,54,1.355372
3002,55,0.3597561
3002,56,0.9661017
3002,57,0.5614035
3002,58,3.3125
3002,59,0.1981132
3002,60,5
3002,61,1.295238
3002,62,0.03676471
3002,63,5
3002,64,6.12
3002,65,0.4313725
3002,66,1.348485
3002,67,1.134831
3002,68,0.8811881
3002,69,0.3595506
3002,70,1.96875
3002,71,3.095238
3002,72,0.04615385
3002,73,6
3002,74,0.7962963
3002,75,2.744186
3002,76,0.7288136
3002,77,1.732558
3002,78,1.161074
3002,79,1.011561
3002,80,0.3714286
3002,81,1.153846
3002,82,1.733333
3002,83,1.346154
3002,84,0.2742857
3002,85,0.08333333
3002,86,48.25
3002,87,0.2487047
3002,88,1.791667
3002,89,0.2325581
3002,90,6.05
3002,91,0.446281
3002,92,2.12963
3002,93,0.1304348
3002,94,9.266667
3002,95,0.4028777
3002,96,0.1428571
3002,97,7.875
3002,98,2.142857
3002,99,0.2148148
3002,100,2.896552
3003,1,0.6309524
3003,2,1.490566
3003,3,2.177215
3003,4,0.4593023
3003,5,0.2278481
3003,6,9.555556
3003,7,0.7732558
3003,8,0.06766917
3003,9,7.111111
3003,10,1.125
3003,11,0.08333333
3003,12,30.33333
3003,13,0.2637363
3003,14,0.3125
3003,15,3.2
3003,16,3.8125
3003,17,0.2677596
3003,18,1.183673
3003,19,0.9827586
3003,20,1.964912
3003,21,0.6607143
3003,22,2.405405
3003,23,0.3876404
3003,24,0.3913043
3003,25,5.074074
3003,26,0.7737226
3003,27,1.669811
3003,28,0.06779661
3003,29,5.083333
3003,30,0.5737705
3003,31,0.3428571
3003,32,2.666667
3003,33,1.6875
3003,34,0.03703704
3003,35,83.5
3003,36,0.4730539
3003,37,0.1898734
3003,38,1
3003,39,13.2
3003,40,0.4292929
3003,41,2.282353
3003,42,0.7061856
3003,43,0.3868613
3003,44,0.6226415
3003,45,6
3003,46,0.479798
3003,47,0.8842105
3003,48,0.8928571
3003,49,1.226667
3003,50,1.195652
3003,51,0.2636364
3003,52,0.7931034
3003,53,4.826087
3003,54,1.252252
3003,55,0.0647482
3003,56,7
3003,57,2.52381
3003,58,0.6792453
3003,59,1.546296
3003,60,0.05389222
3003,61,0.7777778
3003,62,2.571429
3003,63,8.388889
3003,64,0.05298013
3003,65,1.875
3003,66,6.466667
3003,67,0.6082474
3003,68,2.576271
3003,69,0.7039474
3003,70,0.7383178
3003,71,1.531646
3003,72,0.2809917
3003,73,3.323529
3003,74,0.4336283
3003,75,4.020408
3003,76,0.5837563
3003,77,0.5304348
3003,78,0.3114754
3003,79,10.15789
3003,80,0.5595855
3003,81,0.6018519
3003,82,0.7076923
3003,83,2.695652
3003,84,0.6693548
3003,85,1.349398
3003,86,0.1696429
3003,87,9.684211
3003,88,0.6576087
3003,89,0.4876033
3003,90,0.7966102
3003,91,2.085106
3003,92,0.2959184
3003,93,5.206897
3003,94,0.1655629
3003,95,6.92
3003,96,0.7745665
3003,97,0.1940299
3003,98,5.769231
3003,99,1.313333
3003,100,0.3096447
