stock,avg_wt
s10162,258.4726
s10163,70.75644
s10164,414.7912
s10165,309.9776
s10166,206.2801
s10167,374.0987
s10168,299.7302
s10169,86.03152
s1017,428.6506
s10170,422.7468
s10171,241.7441
s10172,189.2292
s10173,141.3903
s10174,148.1471
s10175,323.8281
s10176,83.15019
s10177,259.2282
s10178,109.0201
s10179,483.6079
s1018,264.4868
s10180,75.63524
s10181,170.6154
s10182,182.3317
s10183,260.22
s10184,194.7845
s10185,273.0546
s10186,356.2418
s10187,97.37994
s10188,370.851
s10189,297.6738
s1019,231.555
s10190,495.4168
s10191,97.38845
s10192,191.5766
s10193,142.509
s10194,391.3393
s10195,429.082
s10196,90.45197
s10197,63.07507
s10198,340.8477
s10199,154.2158
s102,394.2285
s1020,259.552
s10200,86.89386
s10201,327.2016
s10202,314.8802
s10203,98.01864
s10204,383.1684
s10205,68.52952
s10206,62.78707
s10207,384.125
s10208,419.0167
s10209,408.6174
s1021,318.6052
s10210,396.3547
s10211,402.3788
s10212,71.40981
s10213,198.3461
s10214,411.619
s10215,130.9879
s10216,149.3778
s10217,472.7415
s10218,107.8053
s10219,234.4
s1022,151.6554
s10220,100.0924
s10221,290.3845
s10222,171.8488
s10223,182.6411
s10224,198.3578
s10225,420.3491
s10226,276.8812
s10227,472.6809
s10228,116.5809
s10229,308.3183
s1023,145.631
s10230,261.0523
s10231,71.53606
s10232,60.26237
s10233,188.2074
s10234,352.1134
s10235,72.58079
s10236,381.3486
s10237,485.776
s10238,412.6842
s10239,360.952
s1024,262.6363
s10240,370.3099
s10241,433.5
s10242,71.99718
s10243,269.8813
s10244,424.013
s10245,150.9108
s10246,483.0867
s10247,299.8922
s10248,259.6252
s10249,457.8166
s1025,166.3537
s10250,411.8895
s10251,173.5648
s10252,72.24417
s10253,314.5783
s10254,191.4578
s10255,94.06606
s10256,221.257
s10257,242.6731
s10258,189.3162
s10259,62.7926
s1026,362.4339
s10260,423.6447
s10261,419.0171
s10262,166.936
s10263,331.7283
s10264,233.9248
s10265,367.0788
s10266,472.6191
s10267,86.00076
s10268,375.3024
s10269,425.1236
s1027,311.6932
s10270,237.3648
s10271,354.9156
s10272,170.7875
s10273,89.12386
s10274,245.2762
s10275,204.1138
s10276,131.4194
s10277,151.9538
s10278,462.178
s10279,154.6473
s1028,315.4309
s10280,222.4871
s10281,64.95717
s10282,308.6135
s10283,63.79232
s10284,270.5758
s10285,129.6291
s10286,171.4214
s10287,364.4258
s10288,199.4747
s10289,241.737
s1029,207.3041
s10290,89.42142
s10291,143.3066
s10292,412.0385
s10293,150.8528
s10294,238.0879
s10295,289.8209
s10296,140.2631
s10297,403.6974
s10298,283.1803
s10299,476.1718
s103,388.0188
s1030,324.8467
s10300,485.9882
s10301,462.612
s10302,484.5568
s10303,259.5962
s10304,240.2511
s10305,225.9268
s10306,356.9475
s10307,355.145
s10308,318.2032
s10309,117.5184
s1031,383.3914
s10310,161.5109
s10311,317.9989
s10312,398.4932
s10313,414.19
s10314,434.0111
s10315,402.008
s10316,466.2904
s10317,460.9546
s10318,193.7644
s10319,64.45482
s1032,360.4715
s10320,192.1884
s10321,328.4872
s10322,442.2996
s10323,123.6162
s10324,142.6837
s10325,340.055
s10326,410.9467
s10327,149.5959
s10328,142.1352
s10329,325.6254
s1033,298.8474
s10330,486.7989
s10331,126.8487
s10332,429.3174
s10333,381.243
s10334,207.0024
s10335,381.7744
s10336,91.45827
s10337,343.4587
s10338,222.2649
s10339,215.2226
s1034,433.0389
s10340,425.4154
s10341,328.3791
s10342,63.01629
s10343,340.9317
s10344,317.7444
s10345,301.9309
s10346,174.4213
s10347,475.2897
s10348,116.1926
s10349,457.3432
s1035,439.5655
s10350,130.9234
s10351,266.092
s10352,277.3758
s10353,381.3428
s10354,298.4249
s10355,126.9934
s10356,435.8097
s10357,448.5279
s10358,404.4676
s10359,172.4519
s1036,389.256
s10360,264.2651
s10361,126.3868
s10362,453.1148
s10363,126.155
s10364,458.4415
s10365,377.719
s10366,64.61229
s10367,88.2157
s10368,71.22572
s10369,62.52023
s1037,264.6763
s10370,75.31649
s10371,438.1361
s10372,212.394
s10373,105.7769
s10374,189.7996
s10375,165.658
s10376,442.4036
s10377,114.7349
s10378,81.15725
s10379,82.3754
s1038,393.6004
s10380,64.14291
s10381,100.4351
s10382,433.2684
s10383,285.3162
s10384,358.1646
s10385,104.288
s10386,301.3094
s10387,115.8689
s10388,387.9864
s10389,464.8508
s1039,155.8231
s10390,341.453
s10391,386.2476
s10392,270.6904
s10393,75.36602
s10394,109.9481
s10395,277.9936
s10396,199.8777
s10397,443.3469
s10398,127.6849
s10399,75.35978
s104,99.01914
s1040,323.9608
s10400,274.5282
s10401,166.5605
s10402,334.9762
s10403,256.7146
s10404,73.32597
s10405,289.4328
s10406,230.2353
s10407,136.2794
s10408,271.2384
s10409,321.7212
s1041,321.9842
s10410,329.5891
s10411,468.8302
s10412,434.1937
s10413,194.4353
s10414,230.196
s10415,274.8778
s10416,134.2157
s10417,458.5951
s10418,364.0565
s10419,228.3133
s1042,214.3494
s10420,405.7444
s10421,309.111
s10422,456.0989
s10423,98.03552
s10424,170.7955
s10425,286.8062
s10426,364.6427
s10427,373.8675
s10428,70.05198
s10429,439.613
s1043,455.1779
s10430,292.5955
s10431,272.2704
s10432,302.6088
s10433,313.6969
s10434,184.4824
s10435,215.5539
s10436,370.5678
s10437,73.10935
s10438,156.7595
s10439,463.0931
s1044,62.6894
s10440,228.727
s10441,68.38964
s10442,115.5635
s10443,492.6971
s10444,358.9476
s10445,406.2588
s10446,412.5991
s10447,195.7964
s10448,190.5357
s10449,434.724
s1045,99.64033
s10450,265.8836
s10451,334.8068
s10452,330.4878
s10453,318.9056
s10454,311.285
s10455,156.1324
s10456,109.368
s10457,396.8259
s10458,451.5449
s10459,167.5927
s1046,228.8975
s10460,463.783
s10461,441.9696
s10462,298.301
s10463,113.8702
s10464,80.01752
s10465,367.963
s10466,200.8152
s10467,473.5991
s10468,100.8022
s10469,257.0222
s1047,348.326
s10470,408.2883
s10471,134.5321
s10472,243.7465
s10473,56.77752
s10474,209.3406
s10475,234.7791
s10476,192.4824
s10477,58.49048
s10478,366.8383
s10479,479.6108
s1048,434.0713
s10480,141.4239
s10481,63.38886
s10482,489.7561
s10483,281.4648
s10484,208.1679
s10485,449.1127
s10486,289.8412
s10487,447.5805
s10488,134.5296
s10489,104.5017
s1049,223.7531
s10490,64.82748
s10491,202.9865
s10492,423.55
s10493,239.0442
s10494,124.1283
s10495,453.998
s10496,482.5745
s10497,429.3118
s10498,124.749
s10499,169.0708
s105,282.8302
s1050,330.7955
s10500,306.7573
s10501,372.5253
s10502,408.0017
s10503,196.872
s10504,77.54955
s10505,72.11494
s10506,203.1455
s10507,360.9456
s10508,100.3277
s10509,295.715
s1051,129.3949
s10510,144.1443
s10511,275.8004
s10512,193.6128
s10513,310.181
s10514,153.7954
s10515,112.8312
s10516,324.7859
s10517,257.96
s10518,429.2378
s10519,251.153
s1052,278.6035
s10520,178.9696
s10521,62.11296
s10522,399.5444
s10523,311.225
s10524,331.7661
s10525,162.8316
s10526,313.1702
s10527,193.7726
s10528,109.7999
s10529,405.6283
s1053,351.7055
s10530,295.4052
s10531,332.4113
s10532,335.5864
s10533,210.1078
s10534,148.5359
s10535,356.0215
s10536,492.5783
s10537,435.1208
s10538,294.8871
s10539,190.3191
s1054,326.5399
s10540,452.6312
s10541,332.3672
s10542,85.50663
s10543,248.1496
s10544,363.1731
s10545,317.4175
s10546,304.0244
s10547,376.4186
s10548,264.1673
s10549,124.1203
s1055,307.2718
s10550,480.2921
s10551,422.2045
s10552,205.2404
s10553,460.791
s10554,99.34792
s10555,424.4543
s10556,140.7992
s10557,55.37477
s10558,445.8214
s10559,207.365
s1056,276.5708
s10560,416.7376
s10561,121.7344
s10562,443.6041
s10563,483.3599
s10564,472.9571
s10565,477.5382
s10566,326.2094
s10567,373.1839
s10568,95.78819
s10569,301.7787
s1057,402.9969
s10570,426.9841
s10571,112.5377
s10572,216.6316
s10573,136.0827
s10574,353.1507
s10575,142.5232
s10576,393.2419
s10577,462.4106
s10578,421.8286
s10579,311.5887
s1058,376.6348
s10580,349.0876
s10581,153.9751
s10582,92.24828
s10583,177.9725
s10584,148.6086
s10585,192.0581
s10586,87.32599
s10587,471.1861
s10588,108.5544
s10589,433.4721
s1059,487.54
s10590,449.1188
s10591,81.55188
s10592,356.3624
s10593,289.911
s10594,233.5128
s10595,351.1289
s10596,271.186
s10597,398.1701
s10598,389.4848
s10599,320.6882
s106,247.0622
s1060,373.2715
s10600,217.069
s10601,329.0111
s10602,161.5153
s10603,463.4222
s10604,87.73223
s10605,478.4649
s10606,371.4665
s10607,283.1749
s10608,143.375
s10609,456.5194
s1061,79.04657
s10610,423.6467
s10611,320.4037
s10612,458.8091
s10613,195.0384
s10614,70.31556
s10615,189.9001
s10616,435.6559
s10617,311.0025
s10618,259.4933
s10619,324.0255
s1062,346.4208
s10620,80.08747
s10621,189.4699
s10622,448.2633
s10623,292.1939
s10624,475.1815
s10625,180.4319
s10626,423.3752
s10627,60.72607
s10628,405.0347
s10629,199.4583
s1063,126.7088
s10630,438.1587
s10631,264.1619
s10632,344.9368
s10633,473.2104
s10634,416.2364
s10635,475.0286
s10636,183.3506
s10637,463.3299
s10638,236.8081
s10639,187.1693
s1064,258.0689
s10640,235.6976
s10641,97.38261
s10642,378.0344
s10643,358.5822
s10644,274.4897
s10645,465.5309
s10646,260.1213
s10647,385.5675
s10648,286.7646
s10649,102.7622
s1065,464.5547
s10650,81.46737
s10651,237.6111
s10652,344.0462
s10653,63.08245
s10654,144.2774
s10655,398.123
s10656,367.8814
s10657,366.272
s10658,175.804
s10659,407.0184
s1066,76.24579
s10660,322.5593
s10661,129.1802
s10662,425.9603
s10663,491.5938
s10664,324.1495
s10665,59.25585
s10666,324.2999
s10667,66.9243
s10668,456.5486
s10669,99.20836
s1067,293.1042
s10670,160.5628
s10671,454.8366
s10672,135.4172
s10673,489.4612
s10674,272.5983
s10675,200.9111
s10676,85.71477
s10677,320.7605
s10678,305.8178
s10679,193.0765
s1068,88.18586
s10680,267.8104
s10681,387.8308
s10682,468.1543
s10683,272.9047
s10684,435.6427
s10685,341.9391
s10686,71.57072
s10687,186.3337
s10688,385.365
s10689,140.2269
s1069,178.7481
s10690,412.8794
s10691,197.759
s10692,433.991
s10693,373.4745
s10694,332.9357
s10695,130.5025
s10696,309.1479
s10697,231.9088
s10698,423.5334
s10699,318.9877
s107,286.7355
s1070,460.5108
s10700,169.9859
s10701,159.6462
s10702,346.343
s10703,391.9267
s10704,412.9369
s10705,207.7993
s10706,411.4271
s10707,281.4389
s10708,145.6777
s10709,105.7985
s1071,197.2382
s10710,274.5499
s10711,402.0966
s10712,71.33165
s10713,323.7472
s10714,460.0606
s10715,120.701
s10716,217.8449
s10717,277.3799
s10718,251.3938
s10719,233.2374
s1072,461.4269
s10720,61.85594
s10721,287.2045
s10722,129.1447
s10723,202.0655
s10724,212.8373
s10725,273.4593
s10726,249.8783
s10727,463.7473
s10728,57.09334
s10729,380.5702
s1073,125.2789
s10730,230.9497
s10731,256.9438
s10732,403.5446
s10733,303.6866
s10734,337.8857
s10735,394.1999
s10736,59.46461
s10737,73.23883
s10738,104.4247
s10739,121.9079
s1074,312.3924
s10740,407.0214
s10741,81.23874
s10742,60.74077
s10743,126.2085
s10744,173.0269
s10745,169.0389
s10746,448.1391
s10747,294.4628
s10748,312.045
s10749,119.6487
s1075,217.4872
s10750,300.5847
s10751,154.719
s10752,211.1307
s10753,397.2159
s10754,159.697
s10755,316.9128
s10756,279.1362
s10757,446.7346
s10758,176.1593
s10759,99.9926
s1076,415.2387
s10760,203.2856
s10761,188.5568
s10762,427.5531
s10763,215.7236
s10764,105.627
s10765,152.8288
s10766,136.888
s10767,414.6546
s10768,215.922
s10769,464.4114
s1077,292.1912
s10770,431.056
s10771,373.6435
s10772,164.7122
s10773,331.0102
s10774,263.1091
s10775,79.87467
s10776,163.2
s10777,349.9443
s10778,333.198
s10779,470.5987
s1078,291.9566
s10780,455.2571
s10781,475.8747
s10782,309.7164
s10783,395.4129
s10784,476.5977
s10785,427.5408
s10786,349.4492
s10787,487.2518
s10788,277.3652
s10789,471.2618
s1079,445.0452
s10790,329.7153
s10791,280.1378
s10792,105.5356
s10793,296.9474
s10794,194.9735
s10795,118.1055
s10796,112.8223
s10797,260.6621
s10798,442.1203
s10799,160.0186
s108,115.2034
s1080,489.0139
s10800,323.3878
s10801,84.58101
s10802,315.1304
s10803,243.0155
s10804,93.66834
s10805,117.3164
s10806,185.8848
s10807,484.0323
s10808,472.0457
s10809,279.8405
s1081,482.9336
s10810,420.7377
s10811,174.1228
s10812,479.1233
s10813,461.4632
s10814,227.241
s10815,273.8952
s10816,228.6738
s10817,92.23848
s10818,178.9342
s10819,88.0103
s1082,428.6868
s10820,457.2332
s10821,283.9913
s10822,294.396
s10823,287.091
s10824,270.3993
s10825,444.2906
s10826,458.2281
s10827,214.5837
s10828,70.03773
s10829,453.8284
s1083,251.2107
s10830,323.5982
s10831,60.62883
s10832,70.32904
s10833,474.931
s10834,490.851
s10835,268.4222
s10836,249.4909
s10837,130.8877
s10838,271.3394
s10839,178.3422
s1084,168.7597
s10840,471.533
s10841,467.3207
s10842,182.8539
s10843,289.9203
s10844,467.8641
s10845,444.3656
s10846,238.7041
s10847,68.60134
s10848,170.1013
s10849,373.6167
s1085,476.5658
s10850,436.4073
s10851,400.9112
s10852,434.7091
s10853,422.2748
s10854,484.1166
s10855,140.2674
s10856,108.5208
s10857,303.0296
s10858,228.5701
s10859,278.0488
s1086,187.4555
s10860,372.7398
s10861,342.9124
s10862,283.8816
s10863,279.5582
s10864,299.7251
s10865,376.6774
s10866,334.1915
s10867,412.9222
s10868,60.09679
s10869,320.9554
s1087,333.7135
s10870,69.78937
s10871,413.6047
s10872,80.35579
s10873,215.2834
s10874,492.2713
s10875,442.5425
s10876,123.1815
s10877,339.9892
s10878,69.62106
s10879,349.189
s1088,84.99656
s10880,96.68297
s10881,139.4758
s10882,316.7679
s10883,358.0438
s10884,473.4439
s10885,88.21141
s10886,109.6177
s10887,63.62688
s10888,196.1829
s10889,129.2843
s1089,170.0956
s10890,143.671
s10891,460.2732
s10892,366.7628
s10893,298.1188
s10894,457.416
s10895,249.4083
s10896,73.56474
s10897,493.0971
s10898,444.0539
s10899,238.3038
s109,447.8733
s1090,86.92231
s10900,171.0093
s10901,492.2163
s10902,123.9692
s10903,144.8238
s10904,486.8983
s10905,289.2176
s10906,166.2147
s10907,192.9338
s10908,483.2044
s10909,335.4294
s1091,239.4476
s10910,308.7225
s10911,65.45849
s10912,313.5273
s10913,488.5919
s10914,86.72537
s10915,250.1675
s10916,291.2085
s10917,126.0492
s10918,403.1956
s10919,324.7568
s1092,154.8701
s10920,443.0127
s10921,214.4654
s10922,431.9484
s10923,62.32339
s10924,404.1616
s10925,59.64568
s10926,140.4184
s10927,174.5406
s10928,92.46079
s10929,212.1402
s1093,238.7781
s10930,73.37065
s10931,212.9061
s10932,136.8443
s10933,181.3179
s10934,305.3056
s10935,71.355
s10936,87.16628
s10937,445.261
s10938,193.1232
s10939,208.2113
s1094,223.102
s10940,213.9408
s10941,191.6282
s10942,332.1843
s10943,235.135
s10944,191.8428
s10945,71.5116
s10946,152.7569
s10947,481.6268
s10948,75.97979
s10949,454.1994
s1095,61.50399
s10950,106.587
s10951,426.5551
s10952,466.6057
s10953,75.85397
s10954,398.6133
s10955,229.6492
s10956,97.92612
s10957,491.4404
s10958,203.6616
s10959,241.0042
s1096,410.4901
s10960,354.4001
s10961,137.7899
s10962,169.1753
s10963,401.5887
s10964,66.31815
s10965,320.2376
s10966,306.3167
s10967,140.6939
s10968,118.8049
s10969,323.9936
s1097,347.226
s10970,474.001
s10971,464.4591
s10972,362.2119
s10973,422.0378
s10974,206.4574
s10975,312.9492
s10976,66.32384
s10977,145.2143
s10978,67.37609
s10979,401.776
s1098,471.1997
s10980,121.1823
s10981,448.9249
s10982,118.5464
s10983,405.5644
s10984,78.13325
s10985,93.92235
s10986,147.0032
s10987,355.7734
s10988,191.8098
s10989,305.7519
s1099,225.4559
s10990,471.2678
s10991,236.3503
s10992,125.0862
s10993,187.6281
s10994,105.7992
s10995,299.636
s10996,59.61754
s10997,347.1345
s10998,398.389
s10999,104.2148
s11,145.5606
s110,232.7293
s1100,210.4017
s11000,417.7337
s11001,236.5882
s11002,67.41386
s11003,454.8759
s11004,255.1937
s11005,63.95068
s11006,166.7059
s11007,159.0155
s11008,371.1382
s11009,86.96657
s1101,66.36113
s11010,72.60639
s11011,168.1413
s11012,144.2064
s11013,219.0822
s11014,115.285
s11015,174.6315
s11016,174.2557
s11017,141.9346
s11018,345.6438
s11019,421.2738
s1102,87.56148
s11020,373.3122
s11021,75.77552
s11022,123.0307
s11023,277.4861
s11024,173.8999
s11025,416.3386
s11026,463.1341
s11027,443.0772
s11028,285.6396
s11029,293.3383
s1103,69.05071
s11030,88.76128
s11031,427.6129
s11032,356.9729
s11033,435.4769
s11034,462.1456
s11035,356.5698
s11036,207.0722
s11037,364.3949
s11038,81.6859
s11039,481.9581
s1104,137.1906
s11040,209.0224
s11041,393.4299
s11042,362.7648
s11043,84.92701
s11044,152.8054
s11045,61.56534
s11046,468.3784
s11047,286.4587
s11048,406.5685
s11049,258.1177
s1105,368.4699
s11050,99.25515
s11051,276.5616
s11052,333.136
s11053,401.1769
s11054,214.9466
s11055,487.7843
s11056,80.072
s11057,97.41635
s11058,100.7957
s11059,239.7536
s1106,229.4202
s11060,368.0227
s11061,318.8659
s11062,388.5376
s11063,493.2578
s11064,486.8541
s11065,115.5839
s11066,97.59064
s11067,372.1567
s11068,465.6469
s11069,349.7132
s1107,283.2669
s11070,230.7569
s11071,337.3839
s11072,239.6818
s11073,247.7737
s11074,401.3063
s11075,257.4409
s11076,56.78995
s11077,431.2837
s11078,412.5022
s11079,346.829
s1108,425.9408
s11080,65.26958
s11081,267.3473
s11082,90.30182
s11083,219.9642
s11084,298.4182
s11085,367.1677
s11086,418.6887
s11087,354.0659
s11088,98.11677
s11089,378.8028
s1109,268.6031
s11090,446.3836
s11091,226.7929
s11092,83.41753
s11093,234.9516
s11094,412.1822
s11095,350.0353
s11096,409.5482
s11097,145.6084
s11098,258.9956
s11099,276.4827
s111,478.2796
s1110,252.1755
s11100,470.3192
s11101,90.91227
s11102,386.6024
s11103,88.68169
s11104,91.13287
s11105,464.7885
s11106,455.0808
s11107,442.5272
s11108,125.7021
s11109,284.6597
s1111,63.50544
s11110,140.6042
s11111,483.7413
s11112,288.4184
s11113,445.159
s11114,194.6229
s11115,451.4278
s11116,198.5378
s11117,213.6404
s11118,357.2479
s11119,87.53024
s1112,401.1823
s11120,284.2677
s11121,93.81861
s11122,469.5866
s11123,142.8156
s11124,260.5766
s11125,141.6323
s11126,385.3678
s11127,68.82913
s11128,349.5873
s11129,344.1826
s1113,263.7283
s11130,393.3955
s11131,380.2236
s11132,443.5541
s11133,111.3438
s11134,390.5867
s11135,349.2473
s11136,75.89194
s11137,82.1033
s11138,75.5467
s11139,432.3035
s1114,254.0982
s11140,399.9455
s11141,360.1119
s11142,362.146
s11143,228.1881
s11144,165.1215
s11145,274.5073
s11146,128.8982
s11147,223.8456
s11148,443.0121
s11149,164.5052
s1115,192.2534
s11150,120.3888
s11151,451.8591
s11152,257.6097
s11153,257.6038
s11154,137.168
s11155,238.2297
s11156,125.2493
s11157,59.74334
s11158,73.65815
s11159,468.2423
s1116,152.808
s11160,411.4225
s11161,479.317
s11162,372.4367
s11163,462.6659
s11164,67.98836
s11165,350.8183
s11166,176.9073
s11167,483.8367
s11168,111.9346
s11169,167.0505
s1117,82.17021
s11170,92.47399
s11171,69.05074
s11172,135.7059
s11173,402.849
s11174,350.6238
s11175,198.3634
s11176,252.927
s11177,117.4949
s11178,121.312
s11179,396.9864
s1118,77.51023
s11180,333.6185
s11181,418.756
s11182,299.8169
s11183,86.53303
s11184,313.4567
s11185,319.998
s11186,109.1797
s11187,320.7939
s11188,383.4599
s11189,65.09707
s1119,437.7651
s11190,267.3474
s11191,124.1947
s11192,142.3868
s11193,313.5108
s11194,422.1879
s11195,291.8717
s11196,298.1319
s11197,351.8799
s11198,253.473
s11199,383.7529
s112,141.9687
s1120,296.8724
s11200,237.3299
s11201,275.8247
s11202,471.0596
s11203,115.7453
s11204,203.8687
s11205,58.72611
s11206,421.5634
s11207,227.8524
s11208,340.1735
s11209,89.37745
s1121,96.09581
s11210,475.3489
s11211,335.3456
s11212,354.1996
s11213,59.53479
s11214,465.2333
s11215,435.1938
s11216,257.8782
s11217,396.3271
s11218,321.2271
s11219,319.7349
s1122,387.4135
s11220,206.4843
s11221,350.4323
s11222,301.5849
s11223,328.3357
s11224,484.305
s11225,208.5211
s11226,408.9097
s11227,209.4636
s11228,224.952
s11229,277.7688
s1123,145.7274
s11230,414.9772
s11231,463.2987
s11232,332.6685
s11233,317.9442
s11234,468.337
s11235,365.8629
s11236,123.4401
s11237,419.2721
s11238,230.4936
s11239,254.1121
s1124,475.3593
s11240,224.8179
s11241,60.99517
s11242,244.1743
s11243,126.3304
s11244,191.6377
s11245,423.6145
s11246,121.187
s11247,335.2311
s11248,389.0486
s11249,185.5061
s1125,274.4647
s11250,315.5242
s11251,203.496
s11252,140.0373
s11253,410.5031
s11254,109.4803
s11255,471.019
s11256,278.8485
s11257,489.1752
s11258,332.7408
s11259,260.3478
s1126,221.9756
s11260,193.0961
s11261,488.0721
s11262,112.1755
s11263,186.6015
s11264,328.6073
s11265,424.1412
s11266,243.6621
s11267,170.8184
s11268,146.718
s11269,116.3294
s1127,335.8351
s11270,461.2083
s11271,230.2229
s11272,240.2997
s11273,298.6849
s11274,359.5222
s11275,381.7155
s11276,216.5269
s11277,482.9166
s11278,396.9193
s11279,148.3953
s1128,69.52773
s11280,321.7021
s11281,247.07
s11282,186.5233
s11283,261.8226
s11284,491.1171
s11285,180.7383
s11286,209.0097
s11287,308.5294
s11288,115.3946
s11289,241.0251
s1129,274.9457
s11290,106.1657
s11291,389.7114
s11292,95.78322
s11293,433.1633
s11294,391.9174
s11295,176.3796
s11296,245.5168
s11297,379.9328
s11298,177.46
s11299,198.1108
s113,267.1983
s1130,360.7554
s11300,119.6715
s11301,492.9148
s11302,238.5904
s11303,269.8461
s11304,487.4502
s11305,150.7151
s11306,384.7155
s11307,387.4793
s11308,289.8035
s11309,132.4674
s1131,64.36849
s11310,109.2529
s11311,388.2123
s11312,57.44154
s11313,289.8613
s11314,493.2108
s11315,171.9877
s11316,273.6991
s11317,225.0898
s11318,222.3988
s11319,392.4336
s1132,435.6097
s11320,245.0661
s11321,299.5604
s11322,71.77259
s11323,386.846
s11324,139.3334
s11325,160.2685
s11326,423.9472
s11327,313.2831
s11328,384.8488
s11329,65.21144
s1133,286.2591
s11330,157.6651
s11331,432.841
s11332,168.3792
s11333,190.4048
s11334,417.388
s11335,68.40288
s11336,205.9204
s11337,67.39049
s11338,73.89999
s11339,286.7127
s1134,304.4572
s11340,62.96673
s11341,69.31718
s11342,177.126
s11343,221.4031
s11344,477.694
s11345,392.764
s11346,353.4277
s11347,85.92214
s11348,253.6983
s11349,187.4198
s1135,167.5588
s11350,343.1015
s11351,278.2104
s11352,354.446
s11353,296.8174
s11354,273.4021
s11355,351.9757
s11356,457.9194
s11357,376.0366
s11358,167.7634
s11359,402.031
s1136,320.4442
s11360,443.645
s11361,60.89662
s11362,317.8994
s11363,406.6868
s11364,114.3785
s11365,464.2116
s11366,115.7585
s11367,85.69757
s11368,242.5366
s11369,165.7159
s1137,165.4622
s11370,248.5341
s11371,339.5315
s11372,321.0118
s11373,277.3345
s11374,84.94947
s11375,93.87204
s11376,258.617
s11377,311.6425
s11378,121.6154
s11379,471.2526
s1138,94.98756
s11380,381.5465
s11381,203.3561
s11382,69.1156
s11383,461.9383
s11384,193.022
s11385,65.07729
s11386,228.3874
s11387,71.70279
s11388,446.6005
s11389,157.0602
s1139,262.3605
s11390,149.9899
s11391,108.1727
s11392,308.4622
s11393,362.6295
s11394,74.88925
s11395,160.192
s11396,178.021
s11397,463.4556
s11398,237.4094
s11399,470.7695
s114,299.8279
s1140,329.1321
s11400,233.7355
s11401,428.0164
s11402,53.08294
s11403,170.6885
s11404,364.1715
s11405,81.89103
s11406,460.9937
s11407,328.8196
s11408,465.5826
s11409,57.03952
s1141,137.2647
